GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
work,main.java.ua.lviv.iot.photographerDevice.model,Target,0,34,0,0,0,2,0,1,0,1
work,main.java.ua.lviv.iot.photographerDevice.model,StudioStand,38,15,0,0,14,5,10,1,10,1
work,main.java.ua.lviv.iot.photographerDevice.model,PhotographerDevice,27,21,0,0,11,8,7,4,7,4
work,main.java.ua.lviv.iot.photographerDevice.model,Camera,45,20,0,0,16,7,11,2,11,2
work,main.java.ua.lviv.iot.photographerDevice.model,Lantern,29,12,0,0,11,4,8,1,8,1
work,main.java.ua.lviv.iot.photographerDevice.model,Quadcopter,38,15,0,0,14,5,10,1,10,1
work,main.java.ua.lviv.iot.photographerDevice.manager,PhotographerDeviceManager,21,41,2,4,8,12,5,6,3,5
work,main.java.ua.lviv.iot.photographerDevice.manager,PhotographerDeviceWriter,24,43,1,1,11,11,4,2,3,2
work,main.java.ua.lviv.iot.photographerDevice,Main,82,0,0,0,16,0,2,0,2,0
